numero,nombre,direccion,dirComplemento,entreCalles,estado,ciudad,telefono,latitud,longitud,estacionamiento,rampas,recibeDolar,tipos_servicio,servicios_detalle
462,Miahuatlán,3 de Octubre 102,"Col. Centro, Miahuatlán de Porfirio Díaz, C.P. 70805, Oaxaca",5 de Febrero y Juárez,Oaxaca,Miahuatlan,0,16.32898,-96.596466,0,0,0.0,"300,400,100,900,300","300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
914,Puerto Escondido,Avenida Alfonso Pérez Gasga 314,"Col. Puerto Escondido Centro, San Pedro Mixtepec -Dto. 22 -, C.P. 71980, Oaxaca",Union y Marina Nacional,Oaxaca,Puerto Escondido,0,15.860079,-97.067602,0,0,0.0,"400,300,300,900,100","400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No"
915,Pinotepa,Porfirio Diaz 103,"Col. Pinotepa Nacional Centro, Santiago Pinotepa Nacional, C.P. 71600, Oaxaca",Porfirio Diaz y Progreso,Oaxaca,Pinotepa Nacional,0,16.340388,-98.052175,0,0,0.0,"300,300,600,900,100,400","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 600 (AFORE): 09:00 - 16:00, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
28,Tehuantepec,Avenida Juárez 9,"Col. Santo Domingo Tehuantepec Centro, Santo Domingo Tehuantepec, C.P. 70760, Oaxaca",Calle Arista y Mina,Oaxaca,Tehuantepec,0,16.332627,-95.231472,0,0,0.0,"100,900,300,400,300,300","100 (Sucursal): 09:00 - 16:00, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
398,Juchitán,5 de Septiembre 12,"Col. Juchitán Centro, Juchitán de Zaragoza, C.P. 70000, Oaxaca",Efraín Gomez y Benito Juárez,Oaxaca,Juchitan,0,16.433651,-95.022658,0,0,0.0,"300,100,300,300,400,300,300,400,900,400,400","300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
182,Salina Cruz,Calle Guaymas 22,"Col. Salina Cruz Centro, Salina Cruz, C.P. 70600, Oaxaca",Avenida Tampico y Avenida Manuel Avila Camacho,Oaxaca,Salina Cruz,0,16.177563,-95.194349,0,0,0.0,"300,300,600,300,300,300,400,400,100,900,300,400,400","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 600 (AFORE): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
599,Huatulco,Boulevard Benito Juárez 7385,"Col. Santa Cruz Sector A, Santa María Huatulco, C.P. 70987, Oaxaca",Pochutla y Santa Cruz,Oaxaca,Bahias De Huatulco,0,15.754004,-96.13448,0,0,,"400,300,100,300","400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
226,Huixtla,Avenida Central Norte 7,"Col. Huixtla Centro, Huixtla, C.P. 30640, Chiapas",Ignacio Zaragoza Poniente y Francisco I. Madero Poniente,Chiapas,Huixtla,0,15.138557,-92.465994,0,0,0.0,"100,300,400,300,900","100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No"
296,Villaflores,Avenida Segunda Sur S/N,"Col. Centro, Villaflores, C.P. 30470, Chiapas",Central Sur y Calle Primera Poniente,Chiapas,Villa Flores,0,16.233811,-93.267005,0,0,0.0,"400,300,100,900,300,400","400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No"
324,Tonalá,5 de Febrero 47,"Col. Centro, Tonalá, C.P. 30500, Chiapas",5 de Febrero y Calle Independencia,Chiapas,Tonala,0,16.090793,-93.751246,0,0,,"300,300,300,400,900,400,100,300","300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 900 (Banamex 1): 09:00 - 16:00, Sat: No; 400 (Sucursal Automatica): 24x7 - 24x7, Sat: No; 100 (Sucursal): 09:00 - 16:00, Sat: No; 300 (ATM): 24x7 - 24x7, Sat: No"
